[,ID],Interval,Transfer,Bandwidth

[,0.0-,1.0,4.75,39.8
[,1.0-,2.0,4.12,34.6
[,2.0-,3.0,3.38,28.3
[,3.0-,4.0,3.75,31.5
[,4.0-,5.0,3.75,31.5
[,5.0-,6.0,3.25,27.3
[,6.0-,7.0,3.12,26.2
[,7.0-,8.0,4.25,35.7
[,8.0-,9.0,2.62,22.0
[,9.0-,10.0,2.12,17.8
[,10.0-,11.0,768,6.29
[,11.0-,12.0,2.12,17.8
[,12.0-,13.0,3.38,28.3
[,13.0-,14.0,2.88,24.1
[,14.0-,15.0,3.62,30.4
[,15.0-,16.0,3.25,27.3
[,16.0-,17.0,3.62,30.4
[,17.0-,18.0,3.50,29.4
[,18.0-,19.0,3.00,25.2
[,19.0-,20.0,3.75,31.5


